Maturity Date,Market Rate,Shift (bp),Shifted Rate,Zero Rate,Discount,Source
04/15/2019,-0.364,0,-0.364,-0.364,1,CASH
04/23/2019,-0.378,0,-0.378,-0.378,1.000073505,CASH
05/16/2019,-0.367,0,-0.367,-0.367,1.000305927,CASH
07/16/2019,-0.31,0,-0.31,-0.31,1.000784226,CASH
10/16/2019,-0.232,0,-0.232,-0.232,1.001180726,CASH
04/16/2020,-0.226999998,0,-0.226999998,-0.229366145,1.00233734,FRA
10/16/2020,-0.191,0,-0.191,-0.216428966,1.003311471,FRA
04/16/2021,-0.199249983,0,-0.199249983,-0.199283806,1.003997622,SWAP
04/19/2022,-0.130500004,0,-0.130500004,-0.130604513,1.003939326,SWAP
04/17/2023,-0.039749999,0,-0.039749999,-0.039828403,1.001595832,SWAP
04/16/2024,0.05525,0,0.05525,0.055443032,0.997232453,SWAP
04/16/2025,0.154249966,0,0.154249966,0.155085196,0.990745188,SWAP
04/16/2026,0.256499976,0,0.256499976,0.25849145,0.982091247,SWAP
04/16/2027,0.357249975,0,0.357249975,0.360969587,0.971585921,SWAP
04/18/2028,0.458249986,0,0.458249986,0.464403882,0.959133182,SWAP
04/16/2029,0.552399993,0,0.552399993,0.561532946,0.945542707,SWAP
04/16/2030,0.638499975,0,0.638499975,0.65100366,0.931109572,SWAP
04/16/2031,0.716499984,0,0.716499984,0.732648078,0.916129755,SWAP
04/17/2034,0.900999993,0,0.900999993,0.928127727,0.870573817,SWAP
04/18/2039,1.070999622,0,1.070999622,1.110631948,0.801746099,SWAP
04/19/2044,1.133999825,0,1.133999825,1.175918114,0.746498327,SWAP
04/20/2049,1.151999474,0,1.151999474,1.190573737,0.701037321,SWAP
04/16/2054,1.149999619,0,1.149999619,1.182602827,0.662667015,SWAP
04/16/2059,1.140249252,0,1.140249252,1.166165713,0.628909845,SWAP
04/16/2064,1.130999565,0,1.130999565,1.151281284,0.597430684,SWAP
04/16/2069,1.120999336,0,1.120999336,1.135968062,0.568483951,SWAP
