Contract,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,2.601,0,2.601,2.601,0.993468
EDJ9    ,2.595,0,2.595,2.63218,0.993412
EDK9    ,2.58489,0,2.58489,2.63816,0.990941
EDM19   ,2.57473,0,2.57473,2.64537,0.988965
EDN9    ,2.55457,0,2.55457,2.62645,0.987038
EDQ9    ,2.53933,0,2.53933,2.62433,0.984621
EDU9    ,2.53911,0,2.53911,2.61941,0.982658
EDZ9    ,2.54322,0,2.54322,2.60865,0.976381
EDH0    ,2.44707,0,2.44707,2.58779,0.970379
EDM0    ,2.37065,0,2.37065,2.56048,0.964599
EDU0    ,2.30899,0,2.30899,2.52761,0.959001
EDZ0    ,2.28707,0,2.28707,2.49677,0.953489
EDH1    ,2.25492,0,2.25492,2.47571,0.948085
EDM1    ,2.25253,0,2.25253,2.45872,0.942717
EDU1    ,2.24491,0,2.24491,2.44159,0.937398
EDZ1    ,2.25207,0,2.25207,2.42571,0.932092
EDH2    ,2.25901,0,2.25901,2.41717,0.926799
4 YR,2.406,0,2.406,2.40419,0.908773
5 YR,2.41,0,2.41,2.40887,0.887166
6 YR,2.4325,0,2.4325,2.43292,0.86494
7 YR,2.458,0,2.458,2.46026,0.84268
8 YR,2.4875,0,2.4875,2.49204,0.820262
9 YR,2.51869,0,2.51869,2.52591,0.79768
10 YR,2.5492,0,2.5492,2.55933,0.775452
11 YR,2.57775,0,2.57775,2.59079,0.753402
12 YR,2.6043,0,2.6043,2.62026,0.731697
15 YR,2.6601,0,2.6601,2.68243,0.670478
20 YR,2.70955,0,2.70955,2.73756,0.580451
25 YR,2.7245,0,2.7245,2.75176,0.504858
30 YR,2.7282,0,2.7282,2.75258,0.440235
40 YR,2.71,0,2.71,2.71916,0.339482
50 YR,2.67175,0,2.67175,2.65189,0.267876
